age,est_pop
10,20055.3469387755
11,20073.0204081633
12,20090.693877551
13,20108.3673469388
14,20139.0816326531
15,20912.0816326531
16,20925.1224489796
17,20938.1632653061
18,20951.2040816327
19,20961.3265306122
20,21519.1632653061
21,21516.2448979592
22,21513.3265306122
23,21510.4081632653
24,21483.4081632653
25,21333.8367346939
26,21309.7551020408
27,21285.6734693878
28,21261.5918367347
29,21237.5102040816
29,20182.6734693878
30,20163.3469387755
31,20144.0204081633
32,20124.693877551
33,20105.3673469388
34,20113.2244897959
35,19309.3673469388
36,19336.5510204082
37,19363.7346938776
38,19390.9183673469
39,19446.7142857143
40,20644.2244897959
41,20672.8367346939
42,20701.4489795918
43,20730.0612244898
44,20758.1836734694
45,21988.0204081633
46,21987.5306122449
47,21987.0408163265
48,21986.5510204082
49,21936.8571428571
50,21866.5918367347
51,21817.387755102
52,21768.1836734694
53,21718.9795918367
54,21626.4285714286
55,19467.306122449
56,19423.9591836735
57,19380.612244898
58,19337.2653061224
59,19293.9183673469
59,17322.4489795918
60,17214.8979591837
61,17107.3469387755
62,16999.7959183673
63,16892.2448979592
64,16725.387755102
65,12041.387755102
66,11982.0816326531
67,11922.7755102041
68,11863.4693877551
69,11759.9591836735
70,9165.59183673469
71,9121.38775510204
72,9077.18367346939
73,9032.97959183674
74,8960.83673469388
75,7032.12244897959
76,7004.18367346939
77,6976.24489795918
78,6948.30612244898
79,6904.81632653061
80,5687.89795918367
81,5672.34693877551
82,5656.79591836735
83,5641.24489795918
84,5625.69387755102
85,4957